word,level,sentence,word_mean
December,a1,December.,"the twelfth and last month of the year , after November and before January :"
decision,a2,I've made my decision. | I make the decisions.,a choice that you make about something after thinking about several possibilities :
defeat,b2,And you will defeat it.,"to win against someone in a fight , war , or competition :"
defence,b2,It was self-defence.,the act of protecting someone or something against attack or criticism :
definition,b1,I need a clear definition.,a statement that explains the meaning of a word or phrase:
degree,a2,Murder in the first degree.,(an) amount or level of something:
delay,b2,Sorry for the delay.,to make something happen at a later time than originally planned or expected :
delight,b2,Afternoon delight,"a feeling of great pleasure , satisfaction , or happiness :"
delivery,b2,Special delivery.,"the act of taking goods , letters , parcels , etc. to people's houses or places of work :"
demand,b2,I demand an explanation. | What are your demands?,"to ask for something forcefully , in a way that shows that you do not expect to be refused : | the difficult things that you have to do:"
dentist,a2,I'm a dentist.,a person whose job is treating people's teeth :
department,a2,Police department.,"a part of an organization such as a school , business , or government that deals with a particular area of study or work :"
departure,b1,Prepare for departure.,"the fact of a person or vehicle , etc. leaving somewhere :"
depth,b2,Periscope depth. | It was you who sent Bootstrap to the depths!,"the distance down either from the top of something to the bottom , or to a distance below the top surface of something: | the lowest part of the sea :"
description,a1,Description?,something that tells you what something or someone is like:
desert,a2,The desert.,"an area , often covered with sand or rocks , where there is very little rain and not many plants :"
designer,a2,Costume Designer,a person who imagines how something could be made and draws plans for it:
desire,b2,Desire.,"to want something, especially strongly :"
desk,a1,Front desk.,"a type of table that you can work at, often one with drawers :"
destination,b1,Destination?,the place where someone is going or where something is being sent or taken:
detail,a1,Every detail. | Details.,a single piece of information or fact about something: | information about someone or something:
detective,a2,Detective.,someone whose job is to discover information about crimes and find out who is responsible for them:
development,b1,It's Arrested Development.,the process in which someone or something grows or changes and becomes more advanced :
device,a2,What kind of device could bring down the wall?,an object or machine that has been invented for a particular purpose :
dialogue,a1,No Audible Dialogue,"conversation that is written for a book , play , or film :"
diamond,b1,Diamond. | Diamonds.,"a transparent , extremely hard precious stone that is used in jewellery , and in industry for cutting hard things: | jewellery made from diamonds:"
diary,a2,A diary.,a book in which you record your thoughts or feelings or what has happened each day :
dictionary,a1,"I asked for an English-Albanian dictionary, did you bring one?","a book that contains a list of words in alphabetical order and explains their meanings , or gives a word for them in another language ; an electronic product giving similar information on a computer , smartphone , etc.:"
diet,a1,I'm on a diet.,the food and drink usually eaten or drunk by a person or group :
difference,a1,What's the difference?,the way in which two or more things which you are comparing are not the same:
difficulty,b1,With great difficulty. | Difficulties?,the fact of not being easy to do or understand :
dinner,a1,The 'coolerador was crammed with TV dinners and ginger ale | Dinner?,"the main meal of the day , usually the meal you eat in the evening but sometimes, in Britain , the meal eaten in the middle of the day :"
direction,a2,Which direction? | I don't need directions.,the position towards which someone or something moves or faces : | instructions that you give to someone about how to find a particular place :
director,a2,Director. | Tell that to the board of directors.,"a manager of an organization , company , college , etc.:"
dirt,b1,Dirt.,"dust , soil , or any substance that makes a surface not clean :"
disaster,a2,This is a disaster.,"(an event that results in) great harm , damage , or death , or serious difficulty :"
disc,b2,Where's the disc?,a circular flat object :
discipline,b2,Discipline.,"training that makes people more willing to obey or more able to control themselves, often in the form of rules , and punishments if these are broken , or the behaviour produced by this training :"
discount,b1,I'll give you a discount.,a reduction in the usual price :
discovery,a2,Discovery Channel.,"the process of finding information , a place , or an object , especially for the first time , or the thing that is found :"
discussion,a2,End of discussion.,the activity in which people talk about something and tell each other their ideas or opinions :
disease,a2,It's a disease.,"(an) illness of people , animals , plants , etc., caused by infection or a failure of health rather than by an accident :"
dish,a1,I'll do the dishes. | We can't align the dish.,"all the plates , glasses , knives , forks , etc. that have been used during a meal : | a container , flatter than a bowl and sometimes with a lid , from which food can be served or which can be used for cooking :"
disk,b2,Where's the disk?,"a flat , circular device that is used for storing information :"
dislike,b1,I don't dislike you.,to not like someone or something:
display,b2,Display?,to arrange something or a collection of things so that it can be seen by the public :
distance,a2,Long distance.,the amount of space between two places :
distribution,b2,Distribution.,"the process of giving things out to several people , or spreading or supplying something:"
district,b2,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.","an area of a country or town that has fixed borders that are used for official purposes , or that has a particular feature that makes it different from surrounding areas :"
divide,b2,Divide and conquer.,to ( cause to) separate into parts or groups :
division,b2,"A Division of TIME WARNER ENTERTAINMENT COMPANY, L.P.","the act of separating something into parts or groups , or the way that it is separated :"
doctor,a1,Doctors. | Doctor!,a person with a medical degree whose job is to treat people who are ill or hurt :
document,a2,Give me the document. | Documents?,"a paper or set of papers with written or printed information , especially of an official type :"
documentary,b1,It's a documentary.,a film or television or radio programme that gives facts and information about a subject :
dog,a1,Good dog. | Dogs?,"a common animal with four legs , especially kept by people as a pet or to hunt or guard things:"
dollar,a1,Dollars? | One dollar.,"the standard unit of money used in the US, Canada, Australia , New Zealand, and other countries :"
door,a1,Open the door! | Open the doors!,"a flat object that is used to close the entrance of something such as a room or building , or the entrance itself:"
doubt,b1,I have my doubts. | I doubt it.,"(a feeling of) not being certain about something, especially about how good or true it is:"
drama,a2,Drama.,"a type of film or TV programme that tells an exciting and generally serious story , as opposed to one that is mainly intended to be funny or entertaining :"
drawing,a2,What are you drawing? | Do you make any money with your drawings?,"the act of making a picture with a pencil or pen , or a picture made in this way:"
dream,a2,Sweet dreams. | I had a dream.,a series of events or images that happen in your mind when you are sleeping :
dress,a1,Nice dress.,"a piece of clothing that covers the top half of the body and hangs down over the legs , usually worn by women and girls :"
drink,a1,Drink. | Drinks?,"(an amount of) liquid that is taken into the body through the mouth : | a party at which you have drinks, especially alcoholic drinks:"
driver,a1,Women drivers. | Driver!,someone who drives a vehicle :
driving,a2,I'm driving.,"the ability to drive a car , the activity of driving, or the way someone drives :"
drop,b1,"Night drops as always, sir. | Drop it!",liquid medicine given in very small amounts : | to fall or to allow something to fall :
drug,a2,Drugs? | He's a drug dealer.,any natural or artificially made chemical that is used as a medicine :
drum,b1,Drums. | Beat the drum.,"a musical instrument , especially one made from a skin stretched over the end of a hollow tube or bowl , played by hitting with the hand or a stick :"
dust,b1,Dust.,"dry dirt in the form of powder that covers surfaces inside a building , or very small dry pieces of soil , sand , or other substances :"
duty,b1,And they were each assigned very hazardous duties. | Duty calls.,"something that you have to do because it is part of your job , or something that you feel is the right thing to do:"
DVD,a1,DVD Subtitles by European Captioning Institute,"abbreviation for digital versatile disc or digital video disc : a disc used for storing and playing music , films , or information :"
ear,a1,My ear! | I'm all ears.,"either of the two organs , one on each side of the head , by which people or animals hear sounds , or the piece of skin and tissue outside the head connected to this organ :"
earth,a2,Earth.,"the planet third in order of distance from the sun , between Venus and Mars ; the world on which we live :"
earthquake,b1,Earthquake!,"a sudden violent movement of the earth's surface , sometimes causing great damage :"
economy,b1,Economy.,the system of trade and industry by which the wealth of a country is made and used:
edge,b1,The quest stands upon the edge of a knife.,the outer or furthest point of something:
edition,b2,It's a first edition.,"a particular form in which a book , magazine , or newspaper is published :"
editor,b1,Editor,"a person who corrects or changes pieces of text or films before they are printed or shown , or a person who is in charge of a newspaper or magazine :"
education,a2,Education.,"the process of teaching or learning , especially in a school or college , or the knowledge that you get from this:"
effect,a2,No effect. | Any side effects?,"the result of a particular influence : | lighting , sounds , and objects that are specially produced for the stage or a film and are intended to make something that does not exist seem real :"
effort,b1,Efforts must be doubled. | Make an effort.,physical or mental activity needed to achieve something:
egg,a1,Eggs. | An egg.,"the oval object with a hard shell that is produced by female birds , especially chickens , sometimes eaten as food :"
election,b1,It's an election year. | Elections?,a time when people vote in order to choose someone for a political or official job :
electricity,a2,Electricity.,"a form of energy that can be produced in several ways and that provides power to devices that create light , heat , etc.:"
element,b1,"Only the Avatar, master of all four elements, could stop them. | The fifth element.","the weather , usually bad weather : | a part of something:"
elephant,a1,Elephants? | Elephant.,a very large grey mammal that has a trunk (= long nose ) with which it can pick things up
emergency,b1,It's an emergency.,"something dangerous or serious , such as an accident , that happens suddenly or unexpectedly and needs fast action in order to avoid harmful results :"
emotion,b1,Emotion. | Emotions.,"a strong feeling such as love or anger , or strong feelings in general :"
employee,a2,I'm an employee.,someone who is paid to work for someone else :
employer,a2,Who is your employer?,a person or organization that employs people :
employment,b1,"He had a good employment record, good references.",the fact of someone being paid to work for a company or organization :
encounter,b2,Unless your people get off their encounter-suited butts and do something...,"a meeting , especially one that happens by chance :"
end,a1,Ends | End of story.,the part of a place or thing that is furthest away from the centre :
ending,a2,Our time here is ending.,the last part of a story :
enemy,b1,The enemy! | Enemies?,a person who hates or opposes another person and tries to harm them or stop them from doing something:
energy,a2,Energy.,the power and ability to be physically and mentally active :
engine,a2,Engine Starts,a machine that uses the energy from liquid fuel or steam to produce movement :
engineer,a2,I'm an engineer. | Planet engineers.,"a person whose job is to design or build machines , engines , or electrical equipment , or things such as roads , railways , or bridges , using scientific principles :"
engineering,b1,Engineering.,"the work of an engineer (= a person who designs or builds machines , engines , electrical systems , or large structures such as roads or bridges using scientific principles ) , or the study of this work :"
entertainment,b1,Local Entertainment Of Japan,"shows , films , television , or other performances or activities that entertain people , or a performance of this type :"
enthusiasm,b2,She shares my enthusiasm for justice.,a feeling of energetic interest in a particular subject or activity and an eagerness to be involved in it:
entrance,b1,Where's the entrance?,"a door , gate , etc. by which you can enter a building or place :"
entry,b1,No sign of forced entry.,the act of entering a place or joining a particular society or organization :
environment,a2,The environment is stable.,"the air , water , and land in or on which people , animals , and plants live :"
episode,b1,Please do NOT hardsub andor stream this episode using our English subtitles.,a single event or group of related events :
equipment,a2,Equipment?,"the set of necessary tools , clothing , etc. for a particular purpose :"
error,a2,Error.,a mistake :
essay,a2,Since Professor Snape set the essay.,"a short piece of writing on a particular subject , especially one done by students as part of the work for a course :"
estate,b2,Real estate.,a large area of land in the country that is owned by a family or an organization and is often used for growing crops or raising animals :
estimate,b2,What's the estimate?,"to guess or calculate the cost , size , value , etc. of something:"
euro,a1,100 euros.,the unit of money used in most European Union countries :
evening,a1,Good evening. | I'm usually at home in the evenings.,the part of the day between the end of the afternoon and night : | in the evening :
event,a1,"In any event, | What about all that talk about screwing up future events?","anything that happens , especially something important or unusual :"
evidence,a2,Evidence.,"facts , information , documents , etc. that give reason to believe that something is true :"
exam,a1,"By 1966, right about the time Tommy was getting ready to take his exams it was lovely Raquel. | Exam 2.",a test of a student's knowledge or skill in a particular subject :
examination,b2,Examination?,the act of looking at or considering something carefully in order to discover something:
example,a1,For example...,something that is typical of the group of things that it is a member of:
exchange,b1,In exchange for what?,the act of giving something to someone and them giving you something else :
excitement,b1,What's all the excitement?,"a feeling of being excited , or an exciting event :"
excuse,b2,Excuse me.,to forgive someone or something:
executive,b2,Executive Producers Nobuyuki Okude Kenji Yokoyama Tatsuya Yoshida Planning Transformer Station Takayuki Nakano Makoto Fujita Kouzin Ohno Hidehito Kaizuka,"someone in a high position , especially in business , who makes decisions and puts them into action :"
exercise,a1,Exercise.,physical activity that you do to make your body strong and healthy :
exhibition,b1,An exhibition?,"an event at which objects such as paintings are shown to the public , or the act of showing these things:"
existence,b2,Erased from existence.,the fact of something or someone existing :
expectation,b2,Expectations.,the feeling that good things are going to happen in the future :
expedition,b1,"Sir, this is something of an expedition.",an organized journey for a particular purpose :
expense,b2,Spared no expense.,"the use of money , time , or effort :"
experience,a2,Experience.,"(the process of getting) knowledge or skill from doing, seeing , or feeling things:"
explanation,a2,I want an explanation.,the details or reasons that someone gives to make something clear or easy to understand :
explosion,b1,Explosion,the fact of something such as a bomb exploding :
expression,a2,It's an expression.,the act of saying what you think or showing how you feel using words or actions :
extent,b2,To some extent.,area or length ; amount :
eye,a1,Keep an eye on him.,one of the two organs in your face that are used for seeing :
face,a1,What happened to your face?,"the front of the head , where the eyes , nose , and mouth are:"
facility,b2,"My facilities are at your... | Lord Vader, we only use this facility for carbon freezing.","the buildings , equipment , and services provided for a particular purpose : | a place , especially including buildings , where a particular activity happens :"
fact,a1,Is that a fact? | Just the facts.,"something that is known to have happened or to exist , especially something for which proof exists , or about which there is information :"
factor,a2,"If I'm curt with you, it's because time is a factor.",a fact or situation that influences the result of something:
factory,a2,The roof of the license-plate factory needs resurfacing. | Patrol machines built in automated factories.,a building or set of buildings where large amounts of goods are made using machines :
failure,b2,I'm a failure.,the fact of someone or something not succeeding :
faith,b2,Faith.,great trust or confidence in something or someone:
fall,a2,Fall back! | Niagara Falls.,"to suddenly go down onto the ground or towards the ground without intending to or by accident : | often used in place names to mean a very wide waterfall , often made of many separate waterfalls :"
fan,a2,I'm a big fan. | We're big fans.,"someone who admires and supports a person , sport , sports team , etc.:"
farm,a1,These are called farms. | A farm?,"an area of land , together with a house and buildings , used for growing crops and/or keeping animals as a business :"
farmer,a1,Farmers. | I'm a farmer.,someone who owns or takes care of a farm :
fashion,a2,After a fashion.,"a style that is popular at a particular time , especially in clothes , hair , make-up , etc.:"
fat,a2,Fat chance.,having a lot of flesh on the body :
father,a1,Father! | His spirit will find its way to the halls of your fathers.,a male parent :
fault,b2,It's not your fault.,"a mistake , especially something for which you are to blame :"
favour,b1,Do me a favour.,the support or approval of something or someone:
fear,a2,He fears what you may become. | Fear.,"an unpleasant emotion or thought that you have when you are frightened or worried by something dangerous , painful , or bad that is happening or might happen :"
feather,b2,Their feathers are just too bright. | Light as a feather.,"one of the many soft , light things that cover a bird's body , consisting of a long , thin , central part with material like hairs along each side :"
feature,a2,Double feature,a typical quality or an important part of something:
February,a1,February.,"the second month of the year , after January and before March :"
fee,b2,Fee.,an amount of money paid for a particular piece of work or for a particular right or service :
feel,b2,How do you feel? | It feels good.,to experience something physical or emotional :
feeling,a1,How are you feeling? | No hard feelings.,"the fact of feeling something physical : | emotions , especially those influenced by other people :"
fence,b1,Fence.,"a structure that divides two areas of land , similar to a wall but made of wood or wire and supported with posts"
festival,a1,It's a festival.,"a special day or period , usually in memory of a religious event , with its own social activities , food , or ceremonies :"
fiction,a2,Fiction.,the type of book or story that is written about imaginary characters and events and not based on real people and facts :
field,a2,"In the field. | The woods, the fields.","an area of land , used for growing crops or keeping animals , usually surrounded by a fence :"
fight,a2,Fight! | No fights.,to use physical force to try to defeat another person or group of people :
fighting,b1,Stop fighting!,"the act of people fighting, especially in a war :"
figure,a2,Go figure.,the symbol for a number or an amount expressed in numbers :
file,b1,Single file.,"any of several different types of container used to store papers , letters , and other documents in an ordered way, especially in an office :"
film,a1,What film? | Films?,"a series of moving pictures , usually shown in a cinema or on television and often telling a story :"
final,a2,"Finals. | Space, the final frontier.",the last set of games in a competition : | last:
finance,b2,What school of finance did you study?,(the management of) a supply of money :
finding,b2,Finding release,"a piece of information that is discovered during an official examination of a problem , situation , or object :"
finger,a2,Pull my finger. | Watch your fingers.,"any of the long , thin , separate parts of the hand , especially those that are not thumbs :"
finish,a2,Let me finish.,to complete something or come to the end of an activity :
fire,a1,Fire!,"the state of burning that produces flames that send out heat and light , and might produce smoke :"
firm,b2,Stand firm!,not soft but not completely hard:
fish,a1,Fish.,"an animal that lives in water , is covered with scales , and breathes by taking water in through its mouth , or the flesh of these animals eaten as food :"
fishing,a2,Fishing?,the sport or job of catching fish :
fix,b2,I'll fix it.,to repair something:
flag,b1,Flags! | The flag is up.,"a piece of cloth , usually rectangular and attached to a pole at one edge , that has a pattern that shows it represents a country or a group , or has a particular meaning :"
flame,b2,Flame on!,"a stream of hot , burning gas from something on fire :"
flash,b2,Flash!,"to shine brightly and suddenly , or to make something shine in this way:"
flight,a1,"Flights, trains, police reports. | How was your flight?",a journey in an aircraft :
flood,b1,The flood.,"to cause to fill or become covered with water , especially in a way that causes problems :"
floor,a1,On the floor. | Looks like clowns and hostages on two floors.,the flat surface of a room on which you walk :
flour,b1,Flour.,"powder made from grain , especially wheat , used for making bread , cakes , pasta , pastry , etc.:"
flow,b1,The same blood flows in my veins. | Go with the flow.,"( especially of liquids , gases , or electricity ) to move in one direction , especially continuously and easily :"
flower,a1,Flowers? | Flower.,"the part of a plant that is often brightly coloured and has a pleasant smell , or the type of plant that produces these:"
flu,a2,Flu.,a common infectious illness that causes fever and headache :
fly,a2,Time flies. | Fly!,"plural of fly | When a bird , insect , or aircraft flies, it moves through the air :"
focus,a2,Focus.,"the main or central point of something, especially of attention or interest :"
fold,b2,Fold.,"to bend something, especially paper or cloth , so that one part of it lies on the other part , or to be able to be bent in this way:"
following,b1,Why are you following me?,after:
food,a1,From General Foods. | Food.,"something that people and animals eat , or plants absorb , to keep them alive :"
foot,a1,My foot!,the part of the body at the bottom of the leg on which a person or animal stands :
football,a1,Football.,"a game played between two teams of eleven people , where each team tries to win by kicking a ball into the other team's goal :"
force,b1,Force of habit.,"physical , especially violent , strength or power :"
forest,a2,Darkness crept back into the forests of the world. | In the forest.,"a large area of land covered with trees and plants , usually larger than a wood , or the trees and plants themselves:"
fork,a2,Fork.,"a small object with three or four points and a handle , that you use to pick up food and eat with:"
form,a1,"Form up! | Now I'm lost in some distant part of the universe on a ship, a living ship, full of strange alien life-forms.",to begin to exist or to make something begin to exist :
fortune,b2,A fortune.,"a large amount of money , goods , property , etc.:"
frame,b1,Frame.,"a border that surrounds and supports a picture , door , or window :"
freedom,b2,Freedom!,"the condition or right of being able or allowed to do, say, think , etc. whatever you want to, without being controlled or limited :"
frequency,b2,What's the frequency?,"the number of times something happens within a particular period , or the fact of something happening often or a large number or times :"
Friday,a1,Friday.,the day of the week after Thursday and before Saturday :
fridge,a2,In the fridge.,a piece of kitchen equipment that uses electricity to preserve food at a cold temperature :
friend,a1,A friend. | Friends?,"a person who you know well and who you like a lot, but who is usually not a member of your family :"
friendship,b1,Friendship.,a situation in which two people are friends :
frog,a2,Frogs? | Frog.,"a small animal that has smooth skin , lives in water and on land , has long powerful back legs with which it jumps from place to place , has no tail , and is usually greenish-brown in colour :"
fruit,a1,Any fruits or vegetables? | Fruit.,the soft part containing seeds that is produced by a plant . Many types of fruit are sweet and can be eaten :
fuel,b1,Fuel.,"a substance that is used to provide heat or power , usually by being burned :"
function,b1,"We'd have to cut his higher brain functions without disturbing the purely automatic and regulatory systems. | I'm not talking fashion, Mr. Fox, so much as function.",the natural purpose (of something) or the duty (of a person ):
funding,b2,"Pressured to prove his theories or lose funding,",money given by a government or organization for an event or activity :
fur,b1,Fur?,"the thick hair that covers the bodies of some animals , or the hair-covered skin(s) of animals , removed from their bodies :"
furniture,a2,Furniture?,"things such as chairs , tables , beds , cupboards , etc. that are put into a house or other building to make it suitable and comfortable for living or working in:"
gas,a2,Ga! | Gas.,written abbreviation for the US state of Georgia: used in addresses | a substance in a form like air that is neither solid nor liquid :
gain,b2,"No pain, no gain.","to get something that is useful , that gives you an advantage , or that is in some way positive , especially over a period of time :"
gallery,a2,It's a shooting gallery.,"a room or building that is used for showing works of art , sometimes so that they can be sold :"
game,a1,Game over.,"an entertaining activity or sport , especially one played by children , or the equipment needed for such an activity :"
gang,b2,"Hey, gang. | Syd could get it a lot cheaper from the gangs, but Syd likes to deal with Jasper.","a group of young people , especially young men, who spend time together, often fighting with other groups and behaving badly :"
gap,a2,The Gap of Rohan takes us too close to Isengard!,an empty space or opening in the middle of something or between two things:
garage,b1,In the garage.,"a building where a car is kept , built next to or as part of a house :"
garden,a1,In the garden. | Busch Gardens?,"a piece of land next to and belonging to a house , where flowers and other plants are grown , and often containing an area of grass :"
gate,a2,Open the gate!,"a part of a fence or outside wall that is fixed at one side and opens and closes like a door , usually made of metal or wooden strips"
generation,b1,It's been in my family for generations. | The Next Generation.,all the people of about the same age within a society or within a particular family :
gentleman,b1,He's a gentleman.,a polite way of talking to or referring to a man:
ghost,b1,Ghost! | Ghosts?,"the spirit of a dead person , sometimes represented as a pale , almost transparent image of that person that some people believe appears to people who are alive :"
gift,a2,Gifts? | It's a gift.,a present or something that is given:
girl,a1,Good girl. | Girls!,"a female child or young woman, especially one still at school : | a group of female friends :"
girlfriend,a1,Girlfriend? | Girlfriends?,a woman or girl who a person is having a romantic or sexual relationship with:
glass,a1,Glass.,"a hard, transparent material , used to make windows , bottles , and other objects :"
glove,b1,It's in the glove compartment.,"a piece of clothing that is worn on the hand and wrist for warmth or protection , with separate parts for each finger :"
goal,a2,Goal! | I think we're gonna have to talk about how this might compromise our goals.,"an area on a playing field , that usually has two posts with a net fixed behind them, where players try to send the ball in order to score in sports such as football and hockey :"
god,a2,"Oh, my God. | He journeyed the earth, battling the minions of his wicked stepmother, Hera, the all-powerful queen of the gods.","a spirit or being believed to control some part of the universe or life and often worshipped for doing so, or something that represents this spirit or being: | the seats in a theatre that are at the highest level and the furthest from the stage :"
golf,a2,Golf?,"a game played outside on grass in which each player tries to hit a small ball into a series of nine or 18 small holes , using a long , thin stick :"
government,a2,The government?,the group of people who officially control a country :
graduate,b1,Graduate school.,a person who has a first degree from a university or college :
grain,b1,For amber waves of grain,"a seed or seeds from a plant , especially a plant like a grass such as rice or wheat :"
grandfather,a1,Grandfather!,the father of a person's mother or father :
grandmother,a1,Grandmother!,the mother of a person's father or mother :
grandparent,a1,Grandparents?,the father or mother of a person's father or mother
grant,b2,Grant.,an amount of money given especially by the government to a person or organization for a special purpose :
grass,a2,Grass.,"a low , green plant that grows naturally over a lot of the earth's surface , having groups of very thin leaves that grow close together in large numbers :"
green,a1,Green.,of a colour between blue and yellow ; of the colour of grass :
ground,a2,On what grounds? | On the ground!,the gardens and land that surround a building and often have a wall or fence around them: | the surface of the earth:
group,a1,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders. | Subtitles by SDI Media Group",a number of people or things that are put together or considered as a unit :
growth,b1,"In China, Lau Security Investments stands for dynamic new growth.","The growth of a person , animal , or plant is its process of increasing in size :"
guarantee,b2,I guarantee it.,"a promise that something will be done or will happen , especially a written promise by a company to repair or change a product that develops a fault within a particular period of time :"
guard,b1,Guard! | Guards!,"a person or group of people whose job is to protect a person , place , or thing from danger or attack , or to prevent a person such as a criminal from escaping : | used in the name of several important regiments (= units ) in an army :"
guess,a1,I guess.,to give an answer to a particular question when you do not have all the facts and so cannot be certain if you are correct :
guest,a2,Guests? | Be my guest.,"a person who is staying with you, or a person you have invited to a social occasion , such as a party or a meal :"
guitar,a1,Guitar.,"a musical instrument , usually made of wood , with six strings and a long neck , played with the fingers or a plectrum :"
gun,a2,Give me the gun. | Guns.,a weapon that bullets or shells (= explosive containers ) are fired from: | arms with large muscles :
guy,a2,"Who is this guy? | Hey, guys.",a man: | used to address a group of people of either sex :
gym,a1,The gym.,"a place or club where you can go to exercise using machines , weights , and other equipment :"
habit,a2,Old habits die hard. | Force of habit.,"something that you do often and regularly , sometimes without knowing that you are doing it:"
hair,a1,Your hair. | Don't split hairs.,"the mass of thin thread-like structures on the head of a person , or any of these structures that grow out of the skin of a person or animal :"
hall,a2,Deck the halls with boughs of holly | Down the hall.,"the area just inside the main entrance of a house , apartment , or other building that leads to other rooms and usually to the stairs :"
handle,b2,I can handle it.,"a part of an object designed for holding , moving , or carrying the object easily :"
happiness,b1,Happiness.,the feeling of being happy :
harm,b2,No harm done.,physical or other injury or damage :
hat,a1,Nice hat. | She hates me. | Hats off!,a covering for the head that is not part of a piece of clothing : | to dislike someone or something very much:
hate,b1,I hate you!,to dislike someone or something very much:
head,a1,Heads. | Watch your head.,"the side of a coin that has a picture of someone's head on it: | the part of the body above the neck where the eyes , nose , mouth , ears , and brain are:"
headache,a2,I have a headache.,a pain you feel inside your head :
health,a1,To your health.,"the condition of the body and the degree to which it is free from illness , or the state of being well:"
hearing,b2,You're not hearing me.,an official meeting that is held to collect the facts about an event or problem :
heart,a2,Hearts. | Cross my heart.,"one of the four suits in playing cards , represented by a red heart shape : | the organ in your chest that sends the blood around your body :"
heat,a2,Heat.,"the quality of being hot or warm , or the temperature of something:"
heating,b1,The sublime passion is heating up,the system that keeps a building warm :
heaven,b2,Heaven. | Good heavens!,"in some religions , the place , sometimes imagined to be in the sky , where God or the gods live and where good people are believed to go after they die , so that they can enjoy perfect happiness | the sky :"
heel,b2,Canby's front line is right on their heels. | Heel!,the rounded back part of the foot
height,a2,I'm afraid of heights. | Height?,"high places , or the top of hills : | the distance from the top to the bottom of something, or the quality of being tall :"
helicopter,b1,Helicopter. | Helicopters.,"a type of aircraft without wings , that has one or two sets of large blades that go round very fast on top . It can land and take off vertically and can stay in one place in the air :"
hell,b2,What the hell?,"an extremely unpleasant or difficult place , situation , or experience :"
hero,a2,Previously on Heroes. | My hero.,plural of hero | a person who is admired for having done something very brave or having achieved something great :
high,b2,Are you high?,"( especially of things that are not living ) being a large distance from top to bottom or a long way above the ground , or having the stated distance from top to bottom :"
hill,a2,Previously on One Tree Hill. | Beverly Hills.,an area of land that is higher than the surrounding land :
hire,b2,"If you have a problem, if no one else can help... and if you can find them... maybe you can hire the A-Team.",to pay to use something for a short period :
history,a1,History.,"(the study of or a record of) past events considered together, especially events of a particular period , country , or subject :"
hobby,a1,It's a hobby.,an activity that someone does for pleasure when they are not working :
hockey,a2,Hockey.,"a game played on a sports field between two teams of eleven players who each have a curved stick with which they try to put a small , hard ball into the other team's goal"
hold,b2,No holds barred. | Hold on.,to take and keep something in your hand or arms :
hole,a2,Fire in the hole!,"an empty space in an object , usually with an opening to the object's surface , or an opening that goes completely through an object :"
holiday,a1,Holiday? | Happy holidays.,"a time when someone does not go to work or school but is free to do what they want , such as travel or relax :"
homework,a1,Homework.,work that teachers give their students to do at home :
hope,a2,I hope so.,"to want something to happen or to be true , and usually have a good reason to think that it might:"
horror,b1,The horror.,"an extremely strong feeling of fear and shock , or the frightening and shocking character of something:"
horse,a1,A horse?,a large animal with four legs that people ride on or use for carrying things or pulling vehicles :
hospital,a1,Hospital? | I hate hospitals.,a place where people who are ill or injured are treated and taken care of by doctors and nurses :
host,b1,"My dear guests, I am Mr. Roarke, your host.",someone who has guests :
hotel,a1,Hotel? | The jails are like hotels.,"a building where you pay to have a room to sleep in, and where you can sometimes eat meals :"
hour,a1,Two hours. | At this hour?,the amount of time during the day or week that you work : | a period of 60 minutes :
house,a1,This is my house.,"a building that people , usually one family , live in:"
household,b2,I believe your name will be a household word when you'd have to go to the war museum to find who Allenby was.,"a group of people , often a family , who live together:"
housing,b2,No housing shortage around here.,buildings for people to live in:
humour,b2,Humour me.,"the ability to find things funny , the way in which people see that some things are funny , or the quality of being funny :"
hunt,b2,Hunt.,"to chase and try to catch and kill an animal or bird for food , sport , or profit :"
hunting,b2,Good hunting.,"chasing and killing an animal or bird for food , sport , or profit :"
hurricane,b1,Life is like a hurricane,"a violent wind that has a circular movement , especially in the West Atlantic Ocean:"
husband,a1,My husband. | Husbands?,the man that you are married to:
ice,a1,Ice.,"water that has frozen and become solid , or pieces of this:"
idea,a1,Good idea. | Any ideas?,a suggestion or plan for doing something:
identity,b1,Identity confirmed.,a person's name and other facts about who they are:
illness,a2,Illness?,a disease of the body or mind :
image,a2,The image is disturbing.,a picture in your mind or an idea of how someone or something is:
imagination,b2,Use your imagination.,the ability to form pictures in the mind :
importance,b1,It's of no importance.,the quality of being important :
impression,b1,That was my first impression of the man.,an idea or opinion of what something or someone is like:
improvement,b1,It's an improvement.,an occasion when something gets better or when you make it better :
inch,b2,Don't move an inch. | A rock hammer is about six or seven inches long.,"a unit used for measuring length , approximately equal to 2.54 centimetres , sometimes shown by the symbol ″:"
incident,b2,Separate incidents? | What incident?,an event that is either unpleasant or unusual :
income,b2,Income tax.,money that is earned from doing work or received from investments :
increase,a2,"Every league you travel south, the danger will increase.","to become larger in amount or size , or to make something do this:"
industry,a2,Andy was a regular cottage industry. | Welcome to OSCORP Industries Unity Day Festival.,"the companies and activities involved in the process of producing goods for sale , especially in a factory or special area :"
infection,b2,Infection.,a condition in which bacteria or viruses that cause disease have entered the body :
influence,b1,You're a bad influence.,"the power to have an effect on people or things, or a person or thing that is able to do this:"
