word,level,sentence,word_mean
rubber,b2,Rubber.,an elastic substance (= that stretches ) made either from the juice of particular tropical trees or artificially :
rude,a2,How rude!,not polite ; offensive or embarrassing :
sad,a1,Sad.,unhappy or sorry :
safe,a2,You're safe.,not in danger or likely to be harmed :
same,a1,Same here.,exactly like another or each other:
satisfied,b2,Satisfied?,"pleased because you have got what you wanted , or because something has happened in the way that you wanted :"
scared,a2,I'm scared.,frightened or worried :
scary,a2,Scary.,frightening :
scientific,b1,It's a scientific fact.,"relating to science , or using the organized methods of science :"
secondary,b1,Secondary protocol.,less important than related things:
secret,a2,It's a secret. | No secrets.,a piece of information that is only known by one person or a few people and should not be told to others :
secure,b2,Secure.,"positioned or fixed firmly and correctly and therefore not likely to move , fall , or break :"
senior,b2,Senior.,high or higher in rank :
sensible,b1,Be sensible.,based on or acting on good judgment and practical ideas or understanding :
sensitive,b2,Sensitive.,"easily upset by the things people say or do, or causing people to be upset , embarrassed , or angry :"
separate,a2,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",existing or happening independently or in a different physical space :
serious,a2,Are you serious?,severe in effect ; bad :
severe,b2,How severe?,"causing very great pain , difficulty , worry , damage , etc.; very serious :"
sexual,b1,Sexual?,relating to the activity of sex :
shallow,b2,The draft at the mouth of that river may be too shallow.,having only a short distance from the top to the bottom :
sharp,b1,Sharp.,having a thin edge or point that can cut something or make a hole in something:
shiny,b1,Shiny.,A shiny surface is bright because it reflects light :
shocked,b2,I'm shocked.,surprised or upset because something unexpected and usually unpleasant has happened :
short,a1,Eat my shorts. | Short.,"trousers that end above the knee or reach the knee , often worn in hot weather or when playing a sport : | small in length , distance , or height :"
shut,a2,Shut up!,to ( cause to) close something:
shy,b1,Don't be shy.,nervous and uncomfortable with other people :
sick,a1,Are you sick?,physically or mentally ill ; not well or healthy :
significant,b2,Is that significant?,important or noticeable :
silent,b1,You have the right to remain silent.,without any sound :
silly,b1,Don't be silly.,showing little thought or judgment :
similar,a1,Watch out and Have a nice are similar,"looking or being almost , but not exactly , the same:"
simple,a2,Simple.,easy to understand or do; not difficult :
sincere,b2,My sincere apologies.,"(of a person , feelings , or behaviour ) not pretending or lying ; honest :"
single,a2,Single.,one only:
ski,a2,Do you ski?,"one of a pair of long , flat narrow pieces of wood or plastic that curve up at the front and are fastened to boots so that the wearer can move quickly and easily over snow :"
slight,b2,Slight change of plans.,small in amount or degree :
small,a1,Small world.,little in size or amount when compared with what is typical or average :
smart,b1,Smart.,"having a clean , tidy , and stylish appearance :"
smooth,b1,Smooth.,"having a surface or consisting of a substance that is perfectly regular and has no holes , lumps , or areas that rise or fall suddenly :"
social,a2,I'm a social worker.,relating to activities in which you meet and spend time with other people and that happen during the time when you are not working :
soft,a2,Soft.,not hard or firm :
solar,b2,Solar system.,"of or from the sun , or using the energy from the sun to produce electric power :"
sorry,a1,I'm sorry.,"used to say that you wish you had not done what you have done, especially when you want to be polite to someone you have done something bad to:"
south,a1,South.,"the direction that goes towards the part of the earth below the equator , opposite to the north , or the part of an area or country that is in this direction :"
southern,b1,The Southern Cross.,in or from the south part of an area :
special,a1,Nothing special.,not ordinary or usual :
specialist,b2,A specialist.,"someone who has a lot of experience , knowledge , or skill in a particular subject :"
specific,a2,Can you be more specific?,relating to one thing and not others ; particular :
spicy,b1,Spicy.,containing strong flavours from spices :
spiritual,b2,Spiritual.,"relating to deep feelings and beliefs , especially religious beliefs :"
spoken,b1,I have spoken.,past participle of speak
square,a2,Back to square one.,a flat shape with four sides of equal length and four angles of 90°:
stable,b2,He's stable.,firmly fixed or not likely to move or change :
standard,b1,Standard procedure. | Standards.,a level of quality :
state,b1,State your name.,a condition or way of being that exists at a particular time :
steady,b2,Steady.,"happening in a smooth , gradual , and regular way, not suddenly or unexpectedly :"
sticky,b2,It's sticky.,made of or covered with a substance that stays attached to any surface it touches :
stiff,b2,I'm scared stiff.,firm or hard:
still,b1,Hold still.,continuing to happen or continuing to be done:
straight,a2,Let me get this straight.,continuing in one direction without bending or curving :
strange,a2,Strange.,"unusual and unexpected , or difficult to understand :"
strict,b2,I must have strict assurance from Corleone.,"strongly limiting someone's freedom to behave as they wish , or likely to severely punish someone if they do not obey :"
strong,a1,Be strong.,powerful ; having or using great force or control :
stupid,a2,Stupid!,silly or unwise ; showing poor judgment or little intelligence :
subject,b2,Don't change the subject. | Test subjects?,"the thing that is being discussed , considered , or studied :"
successful,a2,Successful?,achieving the results wanted or hoped for:
sudden,b1,Don't make any sudden moves.,happening or done quickly and without warning :
suitable,b1,But the purpose of university is to find a suitable husband.,acceptable or right for someone or something:
sure,a1,Sure.,certain ; without any doubt :
surprised,a2,I'm not surprised.,feeling or showing surprise because something has happened that you did not expect :
surprising,a2,Surprising.,unexpected :
surrounding,b2,They are now conducting an extensive search of the surrounding systems.,that is everywhere around something:
talented,b1,You're very talented.,with talent ; able or skilful :
tall,a1,How tall are you?,"of more than average height , or of a particular height :"
technical,b1,It's technical.,"relating to the knowledge , machines , or methods used in science and industry :"
teenage,a2,âª Teenage Mutant Ninja Turtles,aged between 13 and 19:
temporary,b2,It's only temporary.,not lasting or needed for very long :
terrible,a1,Terrible.,very unpleasant or serious or of low quality :
thick,a2,It's too thick.,having a large distance between two sides :
thin,a2,Thin.,having a small distance between two opposite sides :
thirsty,a1,I'm thirsty.,needing to drink :
tidy,a2,Very tidy.,"having everything ordered and arranged in the right place , or liking to keep things like this:"
tight,b1,Sleep tight.,( held or kept together) firmly or closely :
tiny,b1,Tiny.,extremely small :
tired,a1,I'm tired.,in need of rest or sleep :
top,a2,From the top. | Tops.,the highest place or part : | the leaves of a vegetable plant grown mainly for its roots :
tough,b2,Tough.,strong ; not easily broken or made weaker :
toy,a2,It's not a toy. | Toys.,an object for children to play with:
traditional,a2,It's traditional.,following or belonging to the customs or ways of behaving that have continued in a group of people or society for a long time without changing :
tropical,b2,Tropical.,from or relating to the area between the two tropics :
true,a1,It's true.,( especially of facts or statements ) right and not wrong ; correct :
twin,a2,"Marking it with twin circles, I feel a bit more grown-up! | Twins.",either of two children born to the same mother on the same occasion :
typical,a2,Typical.,showing all the characteristics that you would usually expect from a particular group of things:
ugly,b1,Ugly.,unpleasant to look at; not attractive :
unable,b1,Unable to comply.,to not be able to do something:
uncomfortable,b1,Uncomfortable.,"not feeling comfortable and pleasant , or not making you feel comfortable and pleasant :"
unconscious,b2,He's unconscious.,"in the state of not being awake and not aware of things around you, especially as the result of a head injury :"
underground,a2,Underground.,below the surface of the earth ; below ground :
unemployed,b1,I'm unemployed.,not having a job that provides money :
unexpected,b2,What an unexpected pleasure.,not expected :
unfair,b1,It's so unfair.,"not treating people in an equal way, or not morally right :"
unhappy,a2,Are you unhappy?,sad or not satisfied :
unique,b2,Unique.,"being the only existing one of its type or, more generally , unusual , or special in some way:"
united,a2,United!,joined together as a group :
unknown,b2,Unknown.,not known or familiar :
unlikely,b1,Unlikely.,not probable or likely to happen :
unnecessary,b1,Unnecessary.,"not needed or wanted , or more than is needed or wanted :"
unpleasant,b1,Unpleasant?,not enjoyable or pleasant :
unusual,a2,That's unusual.,"different from others of the same type in a way that is surprising , interesting , or attractive :"
upper,b2,53 to upper bay door.,"at a higher position or level than something else , or being the top part of something:"
upset,b1,Don't get upset.,"to make someone worried , unhappy , or angry :"
upstairs,a2,Upstairs.,towards or on the highest floor or floors of a building :
urban,b2,It's an urban legend.,of or in a city or town :
used,b1,I'm used to it.,"shows that a particular thing always happened or was true in the past, especially if it no longer happens or is no longer true :"
useful,a1,Make yourself useful.,effective ; helping you to do or achieve something:
usual,a2,The usual.,"normal ; happening , done, or used most often:"
valuable,b1,It's very valuable.,worth a lot of money :
various,b1,She stole my heart under various pretexts!,many different:
vast,b2,his heart is vast as the sea,extremely big :
very,b2,Thank you very much.,(used to add emphasis to an adjective or adverb ) to a great degree or extremely :
violent,b1,Violent.,using force to hurt or attack :
visual,b2,Visual.,relating to seeing :
vital,b2,It's vital.,necessary for the success or continued existence of something; extremely important :
warm,a1,It's warm.,"having or producing a comfortably high temperature , although not hot :"
weak,a2,Weak.,not physically strong :
wealthy,b2,Now the story of a wealthy family who lost everything... and the one son who had no choice... but to keep them all together.,rich :
west,a1,West.,"the direction in which the sun goes down in the evening , opposite to the east , or the part of an area or country that is in this direction :"
western,b1,Western Union.,in or from the west of a place :
wet,a2,You're all wet.,covered in water or another liquid :
white,a1,White.,"of a colour like that of snow , milk , or bone :"
whole,a2,That's the whole point.,complete or not divided :
wide,a2,Open wide.,"having a larger distance from one side to the other than is usual or expected , especially in comparison with the length of something; not narrow :"
wild,a2,Wild.,"uncontrolled , violent , or extreme :"
willing,b2,God willing.,to be happy to do something if it is needed :
wise,b2,Very wise.,"having or showing the ability to make good judgments , based on a deep understanding and experience of life :"
wonderful,a1,Wonderful.,extremely good:
wooden,a2,Don't take any wooden nickels.,made of wood :
working,a2,It's working.,relating to work :
worldwide,b1,Worldwide.,existing or happening in all parts of the world :
worried,a2,I'm worried.,unhappy because you are thinking about problems or unpleasant things that might happen :
worse,a2,Worse.,"comparative of bad : more unpleasant , difficult , or severe than before or than something else that is also bad :"
worst,a2,The worst.,"superlative of bad : of the lowest quality , or the most unpleasant , difficult , or severe :"
worth,b1,It's not worth it.,"having a particular value , especially in money :"
written,b1,Brought to you by WITH S2 Written In The Heavens Subbing Squad,past participle of write
wrong,a1,What's wrong?,not correct :
young,a1,You're young.,having lived or existed for only a short time and not old :
