quiet,Why are you so quiet?,exact,making very little noise :
club,The country club will have his old timecards.,exact,"an organization of people with a common purpose or interest , who meet regularly and take part in shared activities :"
date,Here's a red-letter date in the history of science.,exact,"a numbered day in a month , often given with a combination of the name of the day , the month , and the year :"
eight,"One, two, three, four, five, six, seven, eight.",exact,the number 8:
carry,They're licensed to carry firearms.,exact,"to hold something or someone with your hands , arms , or on your back and transport it, him, or her from one place to another:"
kiss,You may kiss the bride.,exact,"to touch with your lips , especially as a greeting , or to press your mouth onto another person's mouth in a sexual way:"
fly,Let me fly far away from here,exact,"When a bird , insect , or aircraft flies, it moves through the air :"
visit,"If I hear so much as a mouse fart in here tonight I swear by God and Jesus, you will all visit the infirmary.",exact,"to go to a place in order to look at it, or to a person in order to spend time with them:"
eh,"Quite a surprise to hear a woman singing in my house, eh?",exact,"used to express surprise or confusion , to ask someone to repeat what they have said, or as a way of getting someone to give some type of reaction to a statement that you have made:"
ring,"With this ring, I thee wed.",exact,"a circle of any material , or any group of things or people in a circular shape or arrangement :"
prove,What are you trying to prove?,exact,to show a particular result after a period of time :
area,Mr. Stevens visited nearly a dozen banks in the Portland area that morning.,exact,"a particular part of a place , piece of land , or country :"
duty,All in the line of duty.,exact,"something that you have to do because it is part of your job , or something that you feel is the right thing to do:"
government,"Today, still wanted by the government... they survive as soldiers of fortune.",exact,the group of people who officially control a country :
entire,With my entire body tonight!,exact,"whole or complete , with nothing missing :"
service,Glad to be of service.,exact,"a government system or private organization that is responsible for a particular type of activity , or for providing a particular thing that people need:"
meant,I never meant to hurt you.,exact,past simple and past participle of mean
fault,This is all my fault.,exact,"a mistake , especially something for which you are to blame :"
standing,Why are you standing there?,exact,"reputation , rank , or position in an area of activity , system , or organization :"
jail,You're going to jail.,exact,"a place where criminals are kept to punish them for their crimes , or where people accused of crimes are kept while waiting for their trials :"
talked,You talked me into it.,exact,past simple and past participle of talk
worried,What are you worried about?,exact,unhappy because you are thinking about problems or unpleasant things that might happen :
sake,"Look at his neck, for God's sake.",exact,in order to help or bring advantage to someone:
fear,You have nothing to fear.,exact,"an unpleasant emotion or thought that you have when you are frightened or worried by something dangerous , painful , or bad that is happening or might happen :"
box,"You know, the box and the chain thing.",exact,a square or rectangular container with stiff sides and sometimes a lid :
dress,Where did you get that dress?,exact,"a piece of clothing that covers the top half of the body and hangs down over the legs , usually worn by women and girls :"
trip,Did you have a good trip?,exact,"a journey in which you go somewhere , usually for a short time , and come back again:"
works,The Lord works in mysterious ways.,exact,everything that you might want or expect to find in a particular situation :
offer,I'll make him an offer he can't refuse.,exact,to ask someone if they would like to have something or if they would like you to do something:
rid,I'll get rid of him.,exact,"to not now have an unwanted or unpleasant task , object , or person :"
pain,"The victim is in extreme pain, Rampart.",exact,a feeling of physical suffering caused by injury or illness :
finished,We're not finished yet.,exact,"completed , final or completely used :"
film,He's starring in that new film.,exact,"a series of moving pictures , usually shown in a cinema or on television and often telling a story :"
hide,Where did you hide it?,exact,"to put something or someone in a place where that thing or person cannot be seen or found , or to put yourself somewhere where you cannot be seen or found :"
often,Do you come here often?,exact,many times :
sam,"His only guide on this journey is Al, an observer from his own time, who appears in the form of a hologram that only Sam can see and hear.",exact,abbreviation for surface-to-air missile
beginning,This is just the beginning.,exact,the first part of something or the start of something:
moving,"You're moving into a land of both shadow and substance, of things and ideas.",exact,A moving object is one that moves :
busy,Get busy living or get busy dying.,exact,"If you are busy, you are working hard, or giving your attention to a particular thing:"
teach,The only boy who could ever teach me,exact,to give someone knowledge or to train someone; to instruct :
soul,May God have mercy on his soul.,exact,"the spiritual part of a person that some people believe continues to exist in some form after their body has died , or the part of a person that is not physical and experiences deep feelings and emotions :"
imagine,I imagine it appealed to his meticulous nature.,exact,to form or have a mental picture or idea of something:
village,What's the name of that goddamn village?,exact,"a group of houses and other buildings that is smaller than a town , usually in the countryside :"
realize,Do you realize what you've done?,exact,"to understand a situation , sometimes suddenly :"
third,It was the dawn of the Third Age of mankind.,exact,3rd written as a word:
orders,I don't take orders from you.,exact,"a request to make, supply , or deliver food or goods :"
tea,Would you like some tea?,exact,"(a drink made by pouring hot water onto) dried and cut leaves and sometimes flowers , especially the leaves of the tea plant :"
field,The field is strong enough to deflect any bombardment.,exact,"an area of land , used for growing crops or keeping animals , usually surrounded by a fence :"
fighting,Roger Ramjet and his Eagles Fighting for our freedom,exact,"the act of people fighting, especially in a war :"
song,Song as old as rhyme,exact,a usually short piece of music with words that are sung :
ground,Get down on the ground!,exact,the surface of the earth:
man's,"This man's hurt pretty bad, sir.",exact,"an area or strip of land that no one owns or controls , such as a strip of land between two countries ' borders , especially in a war :"
system,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",exact,a set of connected things or devices that operate together:
personal,Can I ask you a personal question?,exact,relating or belonging to a single or particular person rather than to a group or an organization :
perfect,Sometimes the world looks perfect,exact,"complete and correct in every way, of the best possible type or without fault :"
fix,I'll fix it for you.,exact,to repair something:
lovely,How lovely to see you.,exact,pleasant or enjoyable :
fell,I fell in love with you.,exact,past simple of fall
lived,How long have you lived here?,exact,past simple and past participle of live
judge,I'll be the judge of that.,exact,"a person who is in charge of a trial in a court and decides how a person who is guilty of a crime should be punished , or who makes decisions on legal matters :"
fair,You're not being fair.,exact,"treating someone in a way that is right or reasonable , or treating a group of people equally and not allowing personal opinions to influence your judgment :"
christmas,What do you want for Christmas?,exact,"(the period just before and after) 25 December , a Christian holy day that celebrates the birth of Jesus Christ :"
fellow,For he's a jolly good fellow,exact,"used to refer to someone who has the same job or interests as you, or is in the same situation as you:"
terrible,That's a terrible thing to say.,exact,very unpleasant or serious or of low quality :
river,Gather with the saints at the river,exact,"a natural wide flow of fresh water across the land into the sea , a lake , or another river:"
forever,They can't ignore me forever.,exact,for all time :
difficult,"It must be, that when I run into these terribly difficult walls,",exact,needing skill or effort :
position,Now I find you in exactly the position that suits me.,exact,"the place where something or someone is, often in relation to other things:"
forgive,Can you ever forgive me?,exact,"to stop blaming or being angry with someone for something that person has done, or not punish them for something:"
situation,The situation is under control.,exact,the set of things that are happening and the conditions that exist at a particular time and place :
within,"The courage and power to break through rises up from within,",exact,inside or not further than an area or period of time :
fish,Most new fish come close to madness the first night.,exact,"an animal that lives in water , is covered with scales , and breathes by taking water in through its mouth , or the flesh of these animals eaten as food :"
difference,What difference does it make?,exact,the way in which two or more things which you are comparing are not the same:
prison,There must be a con like me in every prison in America.,exact,a building where criminals are forced to live as a punishment :
movie,Johnny Fontane never gets that movie.,exact,a film shown in a cinema or on television and often telling a story :
broke,They broke the door down before I could take requests.,exact,past simple of break
evidence,"Ladies and gentlemen, you've heard all the evidence.",exact,"facts , information , documents , etc. that give reason to believe that something is true :"
hadn't,I wish you hadn't said that.,exact,short form of had not:
killing,My feet are killing me.,exact,an occasion when a person is murdered :
public,Is that why you slapped my brother around in public?,exact,"relating to or involving people in general , rather than being limited to a particular group of people :"
share,Can two divorced men share an apartment without driving each other crazy?,exact,to have or use something at the same time as someone else :
apartment,To a deluxe apartment in the sky,exact,"a set of rooms for living in, especially on one floor of a building :"
space,"A shining beacon in space, all alone in the night.",exact,an empty area that is available to be used:
wearing,Is that what you're wearing?,exact,making you feel tired or annoyed :
star,The Death Star has cleared the planet.,exact,a very large ball of burning gas in space that is usually seen from the earth as a point of light in the sky at night :
sergeant,Also starring... as Sergeant Carter.,exact,a soldier of middle rank :
wall,The same reason he hung his fantasy girlies on the wall.,exact,"a vertical structure , often made of stone or brick , that divides or surrounds something:"
private,Can we talk in private?,exact,only for one person or group and not for everyone:
accident,It was just an accident.,exact,something bad that happens that is not expected or intended and that often damages something or injures someone:
store,I don't think the store manager likes me very much.,exact,a place where you can buy goods :
crime,Freed him to search for a one-armed man he saw leave the scene of the crime.,exact,illegal activities :
careful,We have to be careful.,exact,"giving a lot of attention to what you are doing so that you do not have an accident , make a mistake , or damage something:"
reach,I've been trying to reach you.,exact,"to arrive at a place , especially after spending a long time or a lot of effort travelling :"
enemy,Enemy activity in his old sector dropped off to nothing.,exact,a person who hates or opposes another person and tries to harm them or stop them from doing something:
quick,I'll be as quick as I can.,exact,"happening or done with great speed , or lasting only a short time :"
radio,I heard it on the radio.,exact,a piece of electronic equipment used for listening to radio broadcasts :
message,"At the tone, leave your name and message.",exact,a short piece of information that you give to a person when you cannot speak to them directly :
problems,He could make your future union problems disappear.,exact,"a situation , person , or thing that needs attention and needs to be dealt with or solved :"
watching,The Other World's not watching for nothing!,exact,present participle of watch
stopped,He's got to be stopped.,exact,past simple and past participle of stop
they'd,It's the only way they'd let me stay.,exact,short form of they had:
proud,You must be very proud.,exact,feeling pleasure and satisfaction because you or people connected with you have done or got something good:
accept,Will you accept the charges?,exact,to agree to take something:
anywhere,You're not going anywhere.,exact,"in, to, or at any place :"
respect,But you don't ask with respect.,exact,admiration felt or shown for someone or something that you believe has good ideas or qualities :
pleasure,It's a pleasure to meet you.,exact,"enjoyment , happiness , or satisfaction , or something that gives this:"
spent,Andy spent a month in the infirmary.,exact,past simple and past participle of spend
south,"And from South America -- Ma-Ti, with the power of heart.",exact,"the direction that goes towards the part of the earth below the equator , opposite to the north , or the part of an area or country that is in this direction :"
cross,Cross my heart and hope to die.,exact,to go across from one side of something to the other:
bitch,You crazy son of a bitch!,exact,a female dog
key,Do you have the key?,exact,"a piece of metal that has been cut into a special shape and is used for opening or closing a lock , starting a car engine , etc.:"
church,My wife made that in church group.,exact,a building for Christian religious activities :
paris,We'll always have Paris.,exact,"the capital city of France, situated in the north central part of the country"
dangerous,It can be a dangerous place.,exact,"A dangerous person , animal , thing, or activity could harm you:"
ma'am,"How do you do, ma'am?",exact,a polite way of talking to a woman:
simple,It's as simple as that.,exact,easy to understand or do; not difficult :
folks,C'est la vie say the old folks It goes to show you never can tell,exact,used when speaking informally to a group of people :
needed,Now he needed a new project.,exact,necessary or wanted :
picked,Peter Piper picked a peck of pickled peppers.,exact,past simple and past participle of pick
history,They're a page right out of history,exact,"(the study of or a record of) past events considered together, especially events of a particular period , country , or subject :"
arms,Put your arms around me.,exact,weapons and equipment used to kill and injure people :
record,What about his prison record?,exact,to store sounds or moving pictures using electronic equipment so that they can be heard or seen later :
professor,"Chewie, take the professor in the back and plug him into the hyperdrive.",exact,"a teacher of the highest rank in a department of a British university , or a teacher of high rank in an American university or college :"
wind,"On an endless prairie, as the wind whistles by, I'm all alone.",exact,"a current of air moving approximately horizontally, especially one strong enough to be felt :"
hundred,More than a hundred men volunteered for the job.,exact,the number 100:
foot,I give my mother a foot massage.,exact,the part of the body at the bottom of the leg on which a person or animal stands :
promised,"You promised to stay out there, twice.",exact,past simple and past participle of promise
dare,How dare you say that?,exact,"to be brave enough to do something difficult or dangerous , or to be rude or silly enough to do something that you have no right to do:"
bag,Two suits for dry-clean and a bag of whatnot.,exact,"a soft container made out of paper or thin plastic , and open at the top , used to hold foods and other goods :"
tv,"Babylon 5 is produced by Babylonian Productions, Inc and distributed by Warner Bros. Domestic TV Distribution.",exact,abbreviation for television :
bar,I'll be in the bar.,exact,"a place , either a separate building or business or part of another building such as a hotel , where drinks , especially alcoholic drinks , are sold and drunk :"
security,These men promptly escaped... from a maximum-security stockade... to the Los Angeles underground.,exact,"protection of a person , building , organization , or country against threats such as crime or attacks by foreign countries :"
gives,This place gives me the creeps.,exact,"to offer something to someone, or to provide someone with something:"
de,"Fleur-de-Lis party, right?",exact,"used to add the meaning "" opposite "", "" remove "", or "" reduce "" to a noun or verb :"
broken,"A broken bourbon bottle, likewise with fingerprints.",exact,past participle of break
mary,"Hail Mary, full of grace.",exact,"a Catholic prayer to Mary, the mother of Jesus Christ"
enjoy,"Until next time, try to enjoy the daylight.",exact,to get pleasure from something:
evil,"Lead us not into temptation, but deliver us from evil.",exact,"morally bad , cruel , or very unpleasant :"
cover,"Hey, Chef, put the cover on that.",exact,"to put or spread something over something, or to lie on the surface of something:"
smart,Don't get smart with me.,exact,"having a clean , tidy , and stylish appearance :"
attention,"May I have your attention, please?",exact,"notice , thought , or interest :"
deep,"Deep Core, do you read?",exact,"going or being a long way down from the top or surface , or being of a particular distance from the top to the bottom :"
wake,Why didn't you wake me up?,exact,to ( cause someone to) become awake and conscious after sleeping :
missing,You don't know what you're missing.,exact,Someone who is missing has disappeared :
using,Best watched using Open Subtitles MKV Player,exact,present participle of use
alright,Everything's going to be alright.,exact,non-standard form of all right
island,"This life is one big treasure island,",exact,a piece of land completely surrounded by water :
la,C'est la vie say the old folks It goes to show you never can tell,exact,the sixth note in the sol-fa musical scale
calls,That's what he calls himself now.,exact,"to give someone or something a name , or to know or address someone by a particular name :"
doubt,There's no doubt about it.,exact,"(a feeling of) not being certain about something, especially about how good or true it is:"
thousand,"Wait for it in a thousand years, wait for it",exact,"the number 1,000:"
test,Is that part of the test?,exact,"a way of discovering , by questions or practical activities , what someone knows , or what someone or something can do or is like:"
machine,And we'll fly through the day on our cloud machine as well!,exact,a piece of equipment with several moving parts that uses power to do a particular type of work :
charlie,Charlie didn't get much USO.,exact,a silly person :
escape,They can't escape their awful fate from Proton's mighty fury.,exact,"to get free from something such as a prison or cage , or from someone who will not allow you to leave :"
board,You know how hard it is to find a board you like.,exact,"a thin , flat piece of cut wood or other hard material , often used for a particular purpose :"
english,"English Subtitles by GELULA CO., INC.",exact,"a language that is spoken in the UK, the US, and in many other countries :"
nose,What happened to your nose?,exact,"the part of the face that sticks out above the mouth , through which you breathe and smell :"
san,This is Mike from San Diego.,exact,"one of the first groups of people to live in southern Africa , especially in the Kalahari desert , who used to live as hunter-gatherers but are now mainly farmers :"
named,Then she marries this guy named Calvert.,exact,past simple and past participle of name
aunt,And I'm positive that if Uncle Conrad and Aunt...,exact,"the sister of someone's father or mother , or the wife of someone's uncle or aunt:"
involved,I don't want to get involved.,exact,not simple and therefore difficult to understand :
west,We have to find a spot on the West Side.,exact,"the direction in which the sun goes down in the evening , opposite to the east , or the part of an area or country that is in this direction :"
ice,"I scream, you scream, we all scream for ice cream.",exact,"water that has frozen and become solid , or pieces of this:"
lying,You're lying to me.,exact,present participle of lie
bear,I'll bear that in mind.,exact,"to accept , tolerate , or endure something, especially something unpleasant :"
french,Welcome to The French Chef.,exact,"the language that people speak in France, parts of Belgium, Switzerland, and Canada, and other countries :"
moon,"In the name of the moon, I will punish you!",exact,the round object that moves in the sky around the earth and can be seen at night :
america,There must be a con like me in every prison in America.,exact,the United States of America:
dollars,I need a million dollars in cash.,exact,"the standard unit of money used in the US, Canada, Australia , New Zealand, and other countries :"
ourselves,Let's not get ahead of ourselves.,exact,"used when the subject of the verb is ""we"" or the speaker and one or more others , and the object is the same group of people :"
swear,"Do you swear to tell the truth, the whole truth, and nothing but the truth, so help you God?",exact,to use words that are rude or offensive as a way of emphasizing what you mean or as a way of insulting someone or something:
immediately,All personnel must evacuate immediately.,exact,now or without waiting or thinking :
papers,Don't you read the papers?,exact,"official documents , especially ones that show who you are:"
north,It's got a long rock wall with a big oak tree at the north end.,exact,"the direction that goes towards the part of the earth above the equator , opposite to the south , or the part of an area or country that is in this direction :"
green,He maketh me to lie down in green pastures.,exact,of a colour between blue and yellow ; of the colour of grass :
favor,Would you do me a favor?,exact,US spelling of favour
putting,You're putting me on.,exact,present participle of put
tree,Watch out for that tree,exact,a tall plant that has a wooden trunk and branches that grow from its upper part :
protect,The names have been changed to protect the innocent.,exact,"to keep someone or something safe from injury , damage , or loss :"
harry,"Harry, what are you doing?",exact,"to repeatedly demand something from someone, often causing them to feel worried or angry :"
choice,You leave me no choice.,exact,an act or the possibility of choosing :
wine,Would you like some wine?,exact,"an alcoholic drink that is usually made from grapes , but can also be made from other fruits or flowers . It is made by fermenting the fruit with water and sugar :"
saved,You've saved my life.,exact,past simple and past participle of save
group,Subtitles by SDI Media Group,exact,a number of people or things that are put together or considered as a unit :
cops,Did you call the cops?,exact,a police officer :
father's,What is your father's name?,exact,"a day each year when people celebrate fathers , and often give a card or present to their father or do something special for him. In both the US and the UK this is the third Sunday in June . :"
tough,Let's see how tough you are.,exact,strong ; not easily broken or made weaker :
books,"And behind every shady deal behind every dollar earned there was Andy, keeping the books.",exact,the written records of money that a business has spent or received :
art,"Our Father, who art in heaven, hallowed be thy name.",exact,"the making of objects , images , music , etc. that are beautiful or that express feelings :"
completely,And now for something completely different.,exact,in every way or as much as possible :
hello,"Hello, Hal, do you read me?",exact,used when meeting or greeting someone:
honest,I'll be honest with you.,exact,"telling the truth or able to be trusted and not likely to steal , cheat , or lie :"
department,This is the Los Angeles Police Department.,exact,"a part of an organization such as a school , business , or government that deals with a particular area of study or work :"
price,Two for the price of one.,exact,the amount of money for which something is sold :
double,Make sure your man double-bags.,exact,"twice the size , amount , price , etc., or consisting of two similar things together:"
shop,Fell out of his nest over by the plate shop.,exact,a place where you can buy goods or services :
plenty,We have plenty of time.,exact,"(the state of having) enough or more than enough, or a large amount :"
truck,We're going to a place called Monster Joe's Truck and Tow.,exact,a large road vehicle that is used for transporting large amounts of goods :
she'd,She'd like to speak to you.,exact,short form of she had:
cost,How much does it cost?,exact,"the amount of money needed to buy , do, or make something:"
forward,I'll look forward to it.,exact,towards the direction that is in front of you:
mess,"It's a goddamn mess, I'll tell you that.",exact,Mess or a mess is something or someone that looks dirty or untidy :
london,London Bridge is falling down,exact,"the capital city of England and the United Kingdom, in the south-east of England on the River Thames. It has a population of over 13 million people and is the location of the UK Parliament, the King's main home Buckingham Palace, the Bank of England , and the London Stock Exchange."
rock,"rock, rock, rock, rock, rock 'n' roll high school",exact,"the dry solid part of the earth's surface , or any large piece of this that sticks up out of the ground or the sea :"
especially,Especially if you don't have anything to drink.,exact,very much; more than usual or more than other people or things:
lots,"So come and join us, all you kids, For lots of fun and laughter",exact,lots (of) a large amount or number of people or things:
destroy,"You're going out there to destroy them, right?",exact,to damage something so badly that it cannot be used:
upset,Why are you so upset?,exact,"to make someone worried , unhappy , or angry :"
surprise,I've got a surprise for you.,exact,an unexpected event :
walking,I want you two walking perimeter.,exact,"the activity of going for a walk , especially for pleasure :"
forgot,"Oh, I forgot to tell you.",exact,"to be unable to remember a fact , something that happened , or how to do something:"
interest,"Lost interest in it, though.",exact,the feeling of wanting to give your attention to something or of wanting to be involved with and to discover more about something:
brain,"All right, but you should know that sudden, serious brain injury causes the victim to bite down hard.",exact,"the organ inside the head that controls thought , memory , feelings , and activity :"
bother,Don't let it bother you.,exact,to make the effort to do something:
suddenly,Suddenly you realize there's a wasp crawling on your arm.,exact,quickly and unexpectedly :
grow,Why don't you grow up?,exact,"to increase in size or amount , or to become more advanced or developed :"
further,"No further questions, Your Honor.",exact,"comparative of far : to a greater distance or degree , or at a more advanced level :"
owe,How much do I owe you?,exact,"to need to pay or give something to someone because they have lent money to you, or in exchange for something they have done for you:"
arrest,You're all under arrest.,exact,"If the police arrest someone, they take them away to ask them about a crime that they might have committed :"
whose,Whose side are you on?,exact,used especially in questions when asking about which person owns or is responsible for something:
mark,"On your mark, get set, go!",exact,"a small area on the surface of something that is damaged , dirty , or different in some way:"
neck,What happened to your neck?,exact,the part of the body that joins the head to the shoulders :
single,Able to leap tall buildings at a single bound.,exact,one only:
interesting,"Marty, that was very interesting music.",exact,"Someone or something that is interesting keeps your attention because he, she, or it is unusual , exciting , or has a lot of ideas :"
glass,Would you like a glass of wine?,exact,"a hard, transparent material , used to make windows , bottles , and other objects :"
lay,Now I lay me down to sleep.,exact,"to put something in especially a flat or horizontal position , usually carefully or for a particular purpose :"
however,"And follow every order, however ridiculous.",exact,despite whatever amount or degree :
nor,That's neither here nor there.,exact,"used before the second or last of a set of negative possibilities , usually after ""neither"":"
mama,Mama always had a way of explaining things so I could understand them.,exact,a mother :
tom,"Well, Tom, you're consigliere.",exact,a tomcat
driving,What are you driving at?,exact,"the ability to drive a car , the activity of driving, or the way someone drives :"
allow,Allow me to introduce myself.,exact,"to give permission for someone to do something, or to not prevent something from happening :"
learned,When you can walk its length and leave no trace you will have learned.,exact,A learned person has studied for a long time and has a lot of knowledge :
race,"Right now, I'm a fuckin' race car, and you got me in the red.",exact,a competition in which all the competitors try to be the fastest and to finish first:
figured,I got it all figured out.,exact,past simple and past participle of figure
won,When I despair I remember that all through history the way of truth and love has always won.,exact,past simple and past participle of win
wrote,"Tonight on Murder, She Wrote.",exact,past simple of write
park,"Sometimes after work, I go to the park and feed the birds.",exact,"a large area of land with grass and trees , usually surrounded by fences or walls , and specially arranged so that people can walk in it for pleasure or children can play in it:"
notice,The guards simply didn't notice.,exact,to see or become conscious of something or someone:
kitchen,I'll be in the kitchen.,exact,"a room where food is kept , prepared , and cooked and where the dishes are washed :"
guard,Guard it with your life.,exact,"a person or group of people whose job is to protect a person , place , or thing from danger or attack , or to prevent a person such as a criminal from escaping :"
contact,We've lost contact with the colony on LV-426.,exact,"communication with someone, especially by speaking or writing to them regularly :"
planet,"By your powers combined, I am Captain Planet!",exact,"an extremely large , round mass of rock and metal , such as Earth , or of gas , such as Jupiter , that moves in a circular path around the sun or another star :"
queen,"He journeyed the earth, battling the minions of his wicked stepmother, Hera, the all-powerful queen of the gods.",exact,"a woman who rules a country because she has been born into a royal family , or a woman who is married to a king :"
pictures,Captioning sponsored by PARAMOUNT PICTURES,exact,the cinema :
shoes,Put yourself in my shoes.,exact,"one of a pair of coverings for your feet , usually made of a strong material such as leather , with a thick leather or plastic sole (= base ) and usually a heel :"
hall,Thanks for the use of the hall.,exact,"the area just inside the main entrance of a house , apartment , or other building that leads to other rooms and usually to the stairs :"
commander,"Commander Skywalker, do you copy?",exact,"an officer who is in charge of a military operation , or an officer of a particular rank in many countries ' naval forces :"
heaven,"Our Father, who art in heaven, hallowed be thy name.",exact,"in some religions , the place , sometimes imagined to be in the sky , where God or the gods live and where good people are believed to go after they die , so that they can enjoy perfect happiness"
arm,Let go of my arm.,exact,either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end:
angry,Are you angry with me?,exact,"having a strong feeling against someone who has behaved badly , making you want to shout at them or hurt them:"
jim,"Jim, what are you doing here?",exact,the laws and policies once used in the US to treat Black people unfairly and to keep them apart from white people
dirty,I love it when you talk dirty.,exact,"marked with dirt , mud , etc., or containing something such as pollution or bacteria :"
sight,Get out of my sight!,exact,the ability to see :
arrived,"When they arrived, you went up to the house and murdered them.",exact,past simple and past participle of arrive
color,The following program is brought to you in living color on NBC.,exact,US spelling of colour
innocent,"But wherever there was evil, wherever an innocent would suffer, there would be...",exact,(of a person ) not guilty of a particular crime :
list,Who else is on the list?,exact,"a record of short pieces of information , such as people's names , usually written or printed with a single thing on each line and often ordered in a way that makes a particular thing easy to find :"
bus,If I can make it to the bus stop by midnight,exact,a large vehicle in which people are driven from one place to another:
battle,All hands to battle stations.,exact,a fight between armed forces :
admit,Why don't you admit it?,exact,"to agree that something is true , especially unwillingly :"
quickly,Now answer as quickly as you can.,exact,at a fast speed :
laugh,They're all gonna laugh at you!,exact,to smile while making sounds with your voice that show you think something is funny or you are happy :
cash,I need a million dollars in cash.,exact,money in the form of notes and coins :
agree,I couldn't agree with you more.,exact,to have the same opinion :
hardly,We hardly know each other.,exact,only just; almost not:
guns,"Lance, keep your hands away from the guns.",exact,arms with large muscles :
bottle,"A broken bourbon bottle, likewise with fingerprints.",exact,"a container for liquids , usually made of glass or plastic , with a narrow neck :"
likes,The man likes to play chess.,exact,the things that you enjoy :
brothers,Bring our brothers home now!,exact,a man or boy with the same parents as another person :
spot,And the signature was a spot-on match.,exact,"a small , usually round area of colour that is differently coloured or lighter or darker than the surface around it:"
moved,"Each time I looked around, the walls moved in a little tighter.",exact,"having strong feelings of sadness or sympathy , because of something someone has said or done:"
sex,Did you have sex with her?,exact,"the physical state of being either male , female , or intersex:"
drunk,"You're drunk, aren't you?",exact,past participle of drink
doc,"What do you think, Doc?",exact,a doctor :
camp,The camp started falling apart.,exact,a place where people stay in tents or other temporary structures :
dreams,I hope the Pacific is as blue as it has been in my dreams.,exact,a series of events or images that happen in your mind when you are sleeping :
written,It's written all over your face.,exact,past participle of write
herself,She's one lady who knows how to take care of herself.,exact,"used to refer to a female object of a verb , that is the same person or animal as the subject of the verb :"
goddamn,That and a big goddamn poster.,exact,used to add emphasis to what is being said:
scene,Freed him to search for a one-armed man he saw leave the scene of the crime.,exact,"a part of a play or film in which the action stays in one place for a continuous period of time , or in which the same characters are involved . An act may consist of several scenes. :"
hat,Where did you get that hat?,exact,a covering for the head that is not part of a piece of clothing :
sheriff,"Well, if you're the sheriff, you better get these men underground.",exact,"in the US, an official whose job is to be in charge of performing the orders of the law courts and making certain that the laws are obeyed within a particular county"
staying,How long are you staying?,exact,present participle of stay
speaking,This is the captain speaking.,exact,the act or skill of giving a speech at a public event :
fat,"What is your malfunction, you fat barrel of monkey spunk?",exact,having a lot of flesh on the body :
whom,Whom are you talking about?,exact,"used instead of ""who"" as the object of a verb or preposition :"
holding,How are you holding up?,exact,"something that you own such as shares in a company or buildings , or land that you rent and farm :"
michael,"Michael Knight, a young loner... on a crusade to champion the cause of the innocent... the helpless, the powerless... in a world of criminals who operate above the law.",exact,
grand,Future Grand Prix Cyber Formula,exact,important and large in degree :
themselves,They can take care of themselves.,exact,"used when the subject of the verb is ""they"" or a group of people , and the object is the same group of people :"
suit,A politician's word so that young fellas like yourself can wear a suit and a tie and have a job.,exact,a jacket and trousers or a jacket and skirt that are made from the same material :
decide,You'll have to decide.,exact,"to choose something, especially after thinking carefully about several possibilities :"
wild,Go on and try to live even more wild and strong!,exact,"uncontrolled , violent , or extreme :"
prince,"I am Adam, Prince of Eternia and defender of the secrets of Castle Grayskull.",exact,"an important male member of a royal family , especially a son or grandson of the king or queen :"
search,Freed him to search for a one-armed man he saw leave the scene of the crime.,exact,to look somewhere carefully in order to find something:
breakfast,What do you want for breakfast?,exact,a meal eaten in the morning as the first meal of the day :
self,This tape will self-destruct in five seconds.,exact,"the set of someone's characteristics , such as personality and ability , that are not physical and make that person different from other people :"
warm,A warm place with no memory.,exact,"having or producing a comfortably high temperature , although not hot :"
that'll,That'll be the day.,exact,short form of that will :
college,Did you go to college?,exact,"a university , especially one where you study for an undergraduate (= first) degree :"
neither,That's neither here nor there.,exact,not either of two things or people :
david,Starring David Janssen as Dr. Richard Kimble.,exact,a star with six points that represents Judaism
cop,He used to be a cop.,exact,a police officer :
places,"Same as banks, these places are insured.",exact,"an area , town , building , etc.:"
otherwise,"Otherwise, we might never have met.",exact,used after an order or suggestion to show what the result will be if you do not follow that order or suggestion :
blame,You're not to blame.,exact,to say or think that someone or something did something wrong or is responsible for something bad happening :
became,"But in the year of the Shadow War, it became something greater our last, best hope for victory.",exact,past simple of become
begin,I don't know where to begin.,exact,to start to happen or exist :
danger,Your life is in danger.,exact,the possibility of harm or death to someone:
action,Tell them to stop taking in action.,exact,"the process of doing something, especially when dealing with a problem or difficulty :"
among,Or maybe make a few friends among us cons.,exact,in the middle of or surrounded by other things:
ways,Let me count the ways.,exact,(used in adverbs ) in the stated direction or manner :
awful,They can't escape their awful fate from Proton's mighty fury.,exact,extremely bad or unpleasant :
guilty,We find the defendant not guilty.,exact,"feeling worried or unhappy because you have done something wrong , such as causing harm to another person :"
flowers,Thank you for the flowers.,exact,"the part of a plant that is often brightly coloured and has a pleasant smell , or the type of plant that produces these:"
birthday,Happy birthday to you Happy birthday to you,exact,the day that is exactly a year or number of years after a person was born :
gas,We're out of gas.,exact,a substance in a form like air that is neither solid nor liquid :
eating,What have you been eating?,exact,"to put or take food into the mouth , chew it (= crush it with the teeth ) , and swallow it:"
usually,What's an item like this usually go for?,exact,in the way that most often happens :
stuck,You're stuck with me.,exact,past simple and past participle of stick
cry,"Which one is it that makes me want to cry more, I wonder.",exact,"to produce tears as the result of a strong emotion , such as unhappiness or pain :"
